logo/afc_bournemouth-logo_brandlogos.net_wifjg.png,1,AFC Bournemouth
logo/arsenal-logo-vector.png,2,Arsenal
logo/aston-villa-logo.png,3,Aston Villa
logo/brentford-fc-logo.png,4,Brentford
logo/brighton-hove-albion-logo.png,5,Brighton & Hove Albion
logo/chelsea-logo-vector.png,6,Chelsea
logo/Crystal_Palace_FC_logo.png,7,Crystal Palace
logo/everton-fc-logo-preview.png,8,Everton
logo/fulham-fc-logo.png,9,Fulham
logo/leeds-united-fc-logo.png,10,Leeds United
logo/leicester-city-vector-logo.png,11,Leicester City
logo/liverpool-logo-vector.png,12,Liverpool
logo/manchester-city-fc-logo.png,13,Manchester City
logo/manchester-united-logo-vector.png,14,Manchester United
logo/newcastle-united-logo-preview.png,15,Newcastle United
logo/nottingham_forest-logo-brandlogo.net.png,16,Nottingham Forest
logo/southampton-fc-logo.png,17,Southampton
logo/tottenham-hotspur-fc-logo.png,18,Tottenham Hotspur
logo/west-ham-united-fc-logo-preview.png,19,West Ham United
logo/wolverhampton_wanderers_fc-logo-brandlogo.net.png,20,Wolverhampton Wanderers
